cust_id,company1,city,type
CAFFEF,CAFFE FANTASTICO,VICTORIA,TOWN
CALEDON,CALEDONIA MEATS,VICTORIA,TOWN
CAMAS,CAMAS FINE FOODS INC.,LANTZVILLE,UPISLAND
CAMELO,CAMELOT(SGP)51026,VICTORIA,TOWN
CAMOSU,CAMOSUN COLLEGE,VICTORIA,TOWN
CAMPQW,CAMP QWANOES,CROFTON,UPISLAND
CANADI,CANADIAN FORCES SAILING ASSOC.,VICTORIA,TOWN
HARCAN,CANOE CLUB,VICTORIA,TOWN
CAPHOTEL,CAPITAL CITY CENTER HOTEL,VICTORIA,TOWN
CAPCITY,CAPITAL CITY YACHT CLUB,SIDNEY,TOWN
CAPGEO,CAPTAIN GEORGE'S SEAFOOD,PARKSVILLE,UPISLAND
CARECO,CARE + COMPANY dba,VICTORIA,TOWN
CARLTO,CARLTON HOUSE  (CPS)  08107   7310,VICTORIA,TOWN
CARRIE,CARRIE MIDDLEMISS dba,CHEMAINUS,UPISLAND
CASALO,CASA LOMA SENIORS VILLAGE(SGP)51273,COURTENAY,FREIGHT
CASANO,CASA NOVA CATERING,VICTORIA,TOWN
CASAC,CASA PHILIPPINE CUISINES INC,VICTORIA,TOWN
CCKIT,CASSIDY COUNTRY KITCHEN,NANAIMO,UPISLAND
CASSID,CASSIDY FARM MARKET,CASSIDY,UPISLAND
CATEGORY,CATEGORY 12 BREWING INC.,SAANICHTON,TOWN
CATERIN,CATERINGS BY MARTINE,GALIANO ISLAND,P/U
CATHYS,CATHY'S CORNER CAFE,SOOKE,TOWN
CCGSJAC,CDN COAST GUARD - CAPT. JACQUES CARTIER,DARTMOUTH,N/A
CCGMCH,CDN COAST GUARD - M. CHARLES M.B.,VICTORIA,TOWN
CCGSFR,CDN COAST GUARD - SIR JOHN FRANKLIN,VICTORIA,TOWN
CCGCAG,CDN COAST GUARD -CAPT GODDARD MSM,VICTORIA,TOWN
CCGSTU,CDN. COAST GRD - JOHN P. TULLY,VICTORIA,TOWN
CCGBAR,CDN. COAST GUARD - BARTLETT,VICTORIA,TOWN
CCGGOR,CDN. COAST GUARD - GORDON REID,VICTORIA,TOWN
